step,x_struct_raw_left_leg_norm,x_struct_raw_right_leg_norm,x_struct_raw_torso_norm,x_struct_raw_left_leg_var,x_struct_raw_right_leg_var,x_struct_raw_torso_var,x_struct_mixed_left_leg_norm,x_struct_mixed_right_leg_norm,x_struct_mixed_torso_norm,x_struct_mixed_left_leg_var,x_struct_mixed_right_leg_var,x_struct_mixed_torso_var,x_struct_norm_left_leg_norm,x_struct_norm_right_leg_norm,x_struct_norm_torso_norm,x_struct_norm_left_leg_var,x_struct_norm_right_leg_var,x_struct_norm_torso_var,h_struct_proj_left_leg_norm,h_struct_proj_right_leg_norm,h_struct_proj_torso_norm,h_struct_proj_left_leg_var,h_struct_proj_right_leg_var,h_struct_proj_torso_var,h_struct_pre_norm_left_leg_norm,h_struct_pre_norm_right_leg_norm,h_struct_pre_norm_torso_norm,h_struct_pre_norm_left_leg_var,h_struct_pre_norm_right_leg_var,h_struct_pre_norm_torso_var,h_struct_pre_inject_left_leg_norm,h_struct_pre_inject_right_leg_norm,h_struct_pre_inject_torso_norm,h_struct_pre_inject_left_leg_var,h_struct_pre_inject_right_leg_var,h_struct_pre_inject_torso_var,h_struct_post_inject_left_leg_norm,h_struct_post_inject_right_leg_norm,h_struct_post_inject_torso_norm,h_struct_post_inject_left_leg_var,h_struct_post_inject_right_leg_var,h_struct_post_inject_torso_var
1000,5.8565473557,5.8808941841,5.8853921890,2.6183202267,2.6471035480,2.6636934280,6.2771568298,6.2906980515,6.2473039627,2.6213963032,2.6264750957,2.6158387661,4.0772476196,4.0779218674,4.0735349655,0.9778814912,0.9782068133,0.9761192203,8.8331060410,8.7773513794,8.6977109909,0.3048185706,0.3010327816,0.2958151698,15.9577674866,15.9579992294,15.9428920746,0.9947342873,0.9947632551,0.9928837419,16.1669120789,16.1667785645,16.1551914215,1.0209751129,1.0209581852,1.0194964409,16.0356292725,16.0340061188,16.0300083160,1.0044591427,1.0042556524,1.0037559271
2000,6.1301488876,6.1409974098,6.1388640404,2.8428742886,2.8653316498,2.9055514336,6.5277991295,6.5288496017,6.4629745483,2.8201239109,2.8210661411,2.8310687542,4.0537447929,4.0548152924,4.0470328331,0.9666488171,0.9671643376,0.9634881020,8.7262134552,8.6580476761,8.5464496613,0.2976363897,0.2930423319,0.2858018577,15.9500980377,15.9521522522,15.9330940247,0.9937839508,0.9940398932,0.9916709065,16.2495956421,16.2504596710,16.2354354858,1.0314469337,1.0315563679,1.0296521187,16.0561828613,16.0533714294,16.0447940826,1.0070364475,1.0066837072,1.0056103468
1000,6.0185060501,6.0216126442,6.0502848625,2.7627511024,2.7682375908,2.8003945351,6.4325380325,6.4254574776,6.3999323845,2.7667109966,2.7434976101,2.7489752769,4.0735621452,4.0742173195,4.0662446022,0.9761103392,0.9764289260,0.9726223946,8.8562622070,8.7874097824,8.7350864410,0.3063546419,0.3016923368,0.2983058691,15.9608402252,15.9610166550,15.9490938187,0.9951176047,0.9951394796,0.9936552048,16.1474952698,16.1476497650,16.1386928558,1.0185242891,1.0185437202,1.0174152851,16.0366783142,16.0352706909,16.0318565369,1.0045907497,1.0044142008,1.0039871931
2000,6.4719734192,6.4733409882,6.5048203468,2.9991521835,3.0084273815,3.0713884830,6.8444323540,6.8544893265,6.8124089241,2.9558744431,2.9637012482,2.9919724464,4.0510954857,4.0520038605,4.0405821800,0.9653812647,0.9658219218,0.9604109526,8.7481775284,8.6853237152,8.5941886902,0.2990321517,0.2948095500,0.2888802886,15.9524536133,15.9523706436,15.9360361099,0.9940761924,0.9940660596,0.9920349121,16.2176456451,16.2177391052,16.2045059204,1.0273946524,1.0274062157,1.0257323980,16.0545120239,16.0527896881,16.0420207977,1.0068278313,1.0066112280,1.0052646399
3000,5.5732932091,5.5776629448,5.5892982483,2.5572066307,2.5800395012,2.5969300270,5.9438099861,5.9589056969,5.9226880074,2.5151624680,2.5424332619,2.5324740410,4.0363717079,4.0368332863,4.0257463455,0.9584058523,0.9586366415,0.9534010291,8.7303543091,8.6768550873,8.5699386597,0.2979562581,0.2943441570,0.2874067724,15.9663953781,15.9652194977,15.9498910904,0.9958183169,0.9956720471,0.9937662482,16.2893962860,16.2884426117,16.2765445709,1.0365064144,1.0363848209,1.0348740816,16.0731601715,16.0719013214,16.0551242828,1.0091708899,1.0090121031,1.0069133043
4000,5.6723470688,5.6703243256,5.6951932907,2.6599671841,2.6568439007,2.6956176758,6.0406880379,6.0518836975,6.0021653175,2.6170670986,2.6144485474,2.6143777370,4.0155510902,4.0162239075,4.0043787956,0.9485075474,0.9488308430,0.9432846904,8.6048507690,8.5596494675,8.4377412796,0.2893183231,0.2863083184,0.2784802020,15.9600105286,15.9603843689,15.9462652206,0.9950266480,0.9950730205,0.9933190346,16.3479175568,16.3477172852,16.3369464874,1.0439683199,1.0439423323,1.0425690413,16.0817089081,16.0767192841,16.0502758026,1.0102481842,1.0096209049,1.0063185692
5000,5.8646197319,5.8715481758,5.9169306755,2.7229874134,2.7432820797,2.7936615944,6.2102527618,6.2436604500,6.2037472725,2.6737108231,2.7072598934,2.7121970654,4.0034861565,4.0060014725,3.9919505119,0.9428407550,0.9440383911,0.9374770522,8.5524406433,8.5114822388,8.3714990616,0.2858780324,0.2831732631,0.2742154002,15.9575281143,15.9572553635,15.9442911148,0.9947181344,0.9946838617,0.9930730462,16.4009761810,16.4001235962,16.3913726807,1.0507565737,1.0506464243,1.0495270491,16.0784034729,16.0737590790,16.0396823883,1.0098382235,1.0092545748,1.0050033331
6000,5.5781373978,5.5832681656,5.5946974754,2.5301983356,2.5307066441,2.5634706020,5.9449810982,5.9689517021,5.8983736038,2.5117893219,2.5113842487,2.5053586960,3.9991548061,4.0000514984,3.9853944778,0.9408442378,0.9412727952,0.9344652891,8.5712862015,8.5488700867,8.3961744308,0.2872318327,0.2858028710,0.2760524154,15.9653196335,15.9664859772,15.9561634064,0.9956903458,0.9958361387,0.9945530295,16.4608039856,16.4606113434,16.4548912048,1.0584363937,1.0584107637,1.0576757193,16.0884876251,16.0829048157,16.0437412262,1.0111117363,1.0104094744,1.0055265427
7000,6.0986938477,6.1012978554,6.1511721611,2.7702913284,2.7702460289,2.8466908932,6.4371786118,6.4507088661,6.4193086624,2.7205905914,2.7258644104,2.7701613903,3.9872927666,3.9877135754,3.9725954533,0.9352810383,0.9354836345,0.9285084009,8.5117673874,8.4758129120,8.3157691956,0.2832300961,0.2808931172,0.2707613707,15.9563598633,15.9586400986,15.9507656097,0.9945731163,0.9948568344,0.9938788414,16.5128288269,16.5128154755,16.5108394623,1.0651376247,1.0651350021,1.0648798943,16.0702705383,16.0640087128,16.0162696838,1.0088297129,1.0080435276,1.0021066666
8000,5.8157010078,5.8269429207,5.7837462425,2.6529593468,2.6775426865,2.6944470406,6.1533255577,6.1971621513,6.0703554153,2.6213815212,2.6570975780,2.6356928349,3.9830801487,3.9840722084,3.9697942734,0.9334703684,0.9339379668,0.9274259806,8.5448951721,8.5196685791,8.3710145950,0.2861391902,0.2847025692,0.2754484117,15.9692220688,15.9691181183,15.9645528793,0.9961829782,0.9961715341,0.9956051111,16.5726222992,16.5721511841,16.5722980499,1.0728675127,1.0728063583,1.0728250742,16.0805206299,16.0739116669,16.0195808411,1.0101279020,1.0092998743,1.0025401115
9000,6.2113261223,6.2106199265,6.2929997444,2.8113856316,2.8370370865,2.9014244080,6.5164923668,6.5684337616,6.5326724052,2.7665696144,2.8129985332,2.8256938457,3.9668228626,3.9700415134,3.9517848492,0.9257586598,0.9272963405,0.9188731313,8.4479179382,8.4256143570,8.2281589508,0.2791165709,0.2777123451,0.2652976811,15.9598979950,15.9587116241,15.9547214508,0.9950189590,0.9948706627,0.9943763018,16.6228332520,16.6209545135,16.6236763000,1.0793792009,1.0791325569,1.0794861317,16.0651931763,16.0592708588,15.9921255112,1.0082182884,1.0074753761,0.9991357327
